videoId,title,description,channelTitle,videoPublishedAt,tags,viewCount,videoLikeCount,videoCommentCount,text,comment_count,type,c_text,c_author,c_publishedAt,c_likeCount
2JsmSs3oPjc,Russia in 'far worse position now' than during 2022 talks | Michael Clarke analysis,"Russia is in a ""far worse position now"" compared to 2022, when direct negotiations with Ukraine last took place, security and defence analyst, Professor Michael Clarke, has been telling Sky News. 

Speaking with talks between Russia and Ukraine underway in Istanbul, Clarke said: ""Compared to 2022, the Russians are in a far worse position now than they were then because in 2022, they thought, 'it's only a matter of time before we take the whole country'. ""

Read more: https://news.sky.com/story/ukraine-war-latest-peace-talks-zelenskyy-putin-istanbul-crimea-baltic-nato-jet-clarke-frontline-turkey-erdogan-12541713

#ukraine #russia #war #analysis #worldnews 

SUBSCRIBE to our YouTube channel for more videos: http://www.youtube.com/skynews 
Follow us on Twitter: https://twitter.com/skynews 
Like us on Facebook: https://www.facebook.com/skynews 
Follow us on Instagram: https://www.instagram.com/skynews 
Follow us on TikTok: https://www.tiktok.com/@skynews 

For more content go to http://news.sky.com and download our apps: Apple https://itunes.apple.com/gb/app/sky-news/id316391924?mt=8 Android https://play.google.com/store/apps/details?id=com.bskyb.skynews.android&hl=en_GB 

Sky News Daily podcast is available for free here: https://podfollow.com/skynewsdaily/ 

Sky News videos are now available in Spanish here/Los video de Sky News están disponibles en español aquí: https://www.youtube.com/channel/UCzG5BnqHO8oNlrPDW9CYJog 

To enquire about licensing Sky News content, you can find more information here: https://news.sky.com/info/library-sales",Sky News,2025-05-16T14:37:44Z,ukraine;russia;war;conflict;analysis;professor michael;clarke;world;news,392688.0,4944.0,1558.0,"Russia in 'far worse position now' than during 2022 talks | Michael Clarke analysis

Russia is in a ""far worse position now"" compared to 2022, when direct negotiations with Ukraine last took place, security and defence analyst, Professor Michael Clarke, has been telling Sky News. 

Speaking with talks between Russia and Ukraine underway in Istanbul, Clarke said: ""Compared to 2022, the Russians are in a far worse position now than they were then because in 2022, they thought, 'it's only a matter of time before we take the whole country'. ""

Read more: https://news.sky.com/story/ukraine-war-latest-peace-talks-zelenskyy-putin-istanbul-crimea-baltic-nato-jet-clarke-frontline-turkey-erdogan-12541713

#ukraine #russia #war #analysis #worldnews 

SUBSCRIBE to our YouTube channel for more videos: http://www.youtube.com/skynews 
Follow us on Twitter: https://twitter.com/skynews 
Like us on Facebook: https://www.facebook.com/skynews 
Follow us on Instagram: https://www.instagram.com/skynews 
Follow us on TikTok: https://www.tiktok.com/@skynews 

For more content go to http://news.sky.com and download our apps: Apple https://itunes.apple.com/gb/app/sky-news/id316391924?mt=8 Android https://play.google.com/store/apps/details?id=com.bskyb.skynews.android&hl=en_GB 

Sky News Daily podcast is available for free here: https://podfollow.com/skynewsdaily/ 

Sky News videos are now available in Spanish here/Los video de Sky News están disponibles en español aquí: https://www.youtube.com/channel/UCzG5BnqHO8oNlrPDW9CYJog 

To enquire about licensing Sky News content, you can find more information here: https://news.sky.com/info/library-sales",954.0,video,,,,
2JsmSs3oPjc,,,,,,,,,,,comment,I only clicked to see how the bias from sky was going! They are getting worse! More fool anybody who believes they’re trash!,@NeilCubbage,2025-05-22T10:44:58Z,0.0
2JsmSs3oPjc,,,,,,,,,,,comment,"The Russians have moved 30 miles through heavy fortifications and its a 'stalemate'? Yes, and I'm almost a millionaire; just £990,000 to go.",@haydnjones4816,2025-05-22T09:33:14Z,0.0
2JsmSs3oPjc,,,,,,,,,,,comment,I'm tired of this guy,@incognito_one876,2025-05-22T09:10:04Z,0.0
2JsmSs3oPjc,,,,,,,,,,,comment,"Clarke is a Govt propaganda stooge from Chatham house and R.U.S.I.  He makes ridiculous statements when the evidence states otherwise, he's misleading the public with a narrative he knows is false to garner support for a war already lost too Russia. The man is a joke.",@saviour5091,2025-05-22T08:43:16Z,0.0
2JsmSs3oPjc,,,,,,,,,,,comment,'Stalemate' seems a dangerously misleading metaphor. Exactly what perpetuates the violence.,@BrianFoster-ji9fp,2025-05-22T07:44:07Z,0.0
2JsmSs3oPjc,,,,,,,,,,,comment,"The main goal is to stop Putins ""shadow fleet"" of oil tankers passing through the Baltic. If this was achieved it would dramatically change Putins will for continuous efforts of offensive warmongering.",@chowd.a.d.8309,2025-05-22T06:58:36Z,0.0
2JsmSs3oPjc,,,,,,,,,,,comment,Stalemate? Who pays this guy to utter this absolute garbage?,@aaog05540,2025-05-22T06:17:47Z,0.0
2JsmSs3oPjc,,,,,,,,,,,comment,"I listened to this man in the start of war. But everything he says, almost the opposite happens.",@sikandarkhan3,2025-05-22T06:04:49Z,0.0
2JsmSs3oPjc,,,,,,,,,,,comment,Sumy - 70 ukrajinskih vojnika😂🎉,@zoranmrdjenovic8127,2025-05-22T05:02:49Z,0.0
