video_id,title,description,channelTitle,videoPublishedAt,tags,viewCount,videoLikeCount,videoCommentCount,comment_id,author,text,commentLikeCount,commentPublishedAt
sCuyi17B3Pk,Russia Ukraine War Live Update : रूस में शामिल हो रहा यूक्रेन? | Putin | Zelenskyy | Donald Trump,"Russia Ukraine War Live Update : रूस में शामिल हो रहा यूक्रेन? | Trump | Zelenskyy | N18G | Putin | Breaking News | Top News 

#live #russiaukrainewar #putin #zelensky #donaldtrump #zelenskyy #topnews #breakingnews 

#latestnews #RajasthanNews #news18rajasthan
Rajasthan News | राजस्थान समाचार | Latest Hindi News | n18oc_rajasthan  

Latest News | Rajasthan news | top news | breaking news | jaipur | cm bhajanlal sharma | bjp | congress 

News18 Rajasthan में देखिये राजस्थान से जुडी सभी ख़बरें सबसे पहले News18 पर । 
Subscribe to our channel and don't forget to keep the bell icon on

News18 Rajasthan is one of the country's leading news channel and is now also available Live on YouTube. The channel offers a ground level detailed coverage from Rajasthan.  Subscribe to News18 Rajasthan to watch all breaking news and Live Coverage with latest videos added every hour. 

Please visit our news18rajasthan.com for latest opinions and detailed news coverage.

Subscribe to our channel for latest news updates: https://tinyurl.com/y34b86n2
 

Like Us: https://www.facebook.com/News18Rajast...
Follow Us: https://twitter.com/News18Rajasthan
Our Website: https://bit.ly/3azYOgS
 https://onelink.to/desc-youtube",News18 Rajasthan,2025-05-22T04:55:14Z,live;Russia Ukraine War 2025;Ukraine War News Today;Russia Ukraine Conflict Explained;Ukraine Drone Attack;Putin Latest Speech;Zelenskyy Speech Today;Ceasefire Talks 2025;Trump Putin Ukraine Call;NATO Ukraine Support;Ukraine Russia Breaking News;Ukraine War Footage 2025;Russia Bombing Ukraine;Ukraine Retaliation News;Russian Losses Ukraine War;Peace Talks Ukraine Russia;Ukraine Crisis Explained Hindi;Ukraine War Hindi Update;Russia Ukraine War Live News,9229,91,3,Ugy_v3uKw97erF2I5n14AaABAg,@kbro5790,"Who cares about Trump.
America only knows how to make money  from other countries.
IF THEY FAIL 
Then America tries to destroy them.
Never help others with gratitude.",1,2025-05-22T08:14:21Z
sCuyi17B3Pk,Russia Ukraine War Live Update : रूस में शामिल हो रहा यूक्रेन? | Putin | Zelenskyy | Donald Trump,"Russia Ukraine War Live Update : रूस में शामिल हो रहा यूक्रेन? | Trump | Zelenskyy | N18G | Putin | Breaking News | Top News 

#live #russiaukrainewar #putin #zelensky #donaldtrump #zelenskyy #topnews #breakingnews 

#latestnews #RajasthanNews #news18rajasthan
Rajasthan News | राजस्थान समाचार | Latest Hindi News | n18oc_rajasthan  

Latest News | Rajasthan news | top news | breaking news | jaipur | cm bhajanlal sharma | bjp | congress 

News18 Rajasthan में देखिये राजस्थान से जुडी सभी ख़बरें सबसे पहले News18 पर । 
Subscribe to our channel and don't forget to keep the bell icon on

News18 Rajasthan is one of the country's leading news channel and is now also available Live on YouTube. The channel offers a ground level detailed coverage from Rajasthan.  Subscribe to News18 Rajasthan to watch all breaking news and Live Coverage with latest videos added every hour. 

Please visit our news18rajasthan.com for latest opinions and detailed news coverage.

Subscribe to our channel for latest news updates: https://tinyurl.com/y34b86n2
 

Like Us: https://www.facebook.com/News18Rajast...
Follow Us: https://twitter.com/News18Rajasthan
Our Website: https://bit.ly/3azYOgS
 https://onelink.to/desc-youtube",News18 Rajasthan,2025-05-22T04:55:14Z,live;Russia Ukraine War 2025;Ukraine War News Today;Russia Ukraine Conflict Explained;Ukraine Drone Attack;Putin Latest Speech;Zelenskyy Speech Today;Ceasefire Talks 2025;Trump Putin Ukraine Call;NATO Ukraine Support;Ukraine Russia Breaking News;Ukraine War Footage 2025;Russia Bombing Ukraine;Ukraine Retaliation News;Russian Losses Ukraine War;Peace Talks Ukraine Russia;Ukraine Crisis Explained Hindi;Ukraine War Hindi Update;Russia Ukraine War Live News,9229,91,3,Ugw07m0Csb0PS7P_xbB4AaABAg,@vinodsharma9334,We are all one and don't want any war😢,0,2025-05-22T08:14:01Z
sCuyi17B3Pk,Russia Ukraine War Live Update : रूस में शामिल हो रहा यूक्रेन? | Putin | Zelenskyy | Donald Trump,"Russia Ukraine War Live Update : रूस में शामिल हो रहा यूक्रेन? | Trump | Zelenskyy | N18G | Putin | Breaking News | Top News 

#live #russiaukrainewar #putin #zelensky #donaldtrump #zelenskyy #topnews #breakingnews 

#latestnews #RajasthanNews #news18rajasthan
Rajasthan News | राजस्थान समाचार | Latest Hindi News | n18oc_rajasthan  

Latest News | Rajasthan news | top news | breaking news | jaipur | cm bhajanlal sharma | bjp | congress 

News18 Rajasthan में देखिये राजस्थान से जुडी सभी ख़बरें सबसे पहले News18 पर । 
Subscribe to our channel and don't forget to keep the bell icon on

News18 Rajasthan is one of the country's leading news channel and is now also available Live on YouTube. The channel offers a ground level detailed coverage from Rajasthan.  Subscribe to News18 Rajasthan to watch all breaking news and Live Coverage with latest videos added every hour. 

Please visit our news18rajasthan.com for latest opinions and detailed news coverage.

Subscribe to our channel for latest news updates: https://tinyurl.com/y34b86n2
 

Like Us: https://www.facebook.com/News18Rajast...
Follow Us: https://twitter.com/News18Rajasthan
Our Website: https://bit.ly/3azYOgS
 https://onelink.to/desc-youtube",News18 Rajasthan,2025-05-22T04:55:14Z,live;Russia Ukraine War 2025;Ukraine War News Today;Russia Ukraine Conflict Explained;Ukraine Drone Attack;Putin Latest Speech;Zelenskyy Speech Today;Ceasefire Talks 2025;Trump Putin Ukraine Call;NATO Ukraine Support;Ukraine Russia Breaking News;Ukraine War Footage 2025;Russia Bombing Ukraine;Ukraine Retaliation News;Russian Losses Ukraine War;Peace Talks Ukraine Russia;Ukraine Crisis Explained Hindi;Ukraine War Hindi Update;Russia Ukraine War Live News,9229,91,3,Ugw0t_WZzSPHhiv3l7x4AaABAg,@prafullkumar8581,Pure world ka jitna Desh Hai vah sab milkar ke America ka boycott karna chahie,0,2025-05-22T06:24:40Z
wHxJvwzcA4Y,"LIVE: ‘Not My War...’, Trump’s FIERY Speech Shakes Zelensky & EU After Putin Talks | Russia-Ukraine","LIVE NOW: 'NOT MY WAR...', President Donald Trump shocks European allies and Ukrainian President Volodymyr Zelensky with a bold statement following his latest call with Russian President Vladimir Putin. Speaking from the Oval Office, Trump declared, “This is not my war,” signaling a potential shift in U.S. involvement in the Russia-Ukraine conflict. While reaffirming support for peace efforts, Trump suggested Putin is ready to end the war, drawing praise from some and deep concern from NATO leaders.

#TrumpLive #UkraineCrisis #PutinCall #live #trump #trumplive #ukraine #ukraineceasefire #usa #usmilitary #englishnews #englishnewslive #usnews #trumpnews #zelenskyy #nato #putin",Hindustan Times,2025-05-21T19:51:18Z,russia ukraine war;ukraine;ukraine war;russia;donald trump;ukraine russia war;trump ukraine;war in ukraine;trump;russia ukraine;ukraine russia;trump russia ukraine;russia ukraine war update;trump ukraine war;russia ukraine news;trump putin;trump on russia ukraine war;russia war;trump end russia ukraine war;donald trump on russia ukraine war;trump news;trump russia;russia vs ukraine;trump ukraine russia;russia war ukraine;russia-ukraine war;live;us,14455,91,12,Ugz7a6tiUejwy-KUPot4AaABAg,@louvreloveru,Putin is a war criminal. He’s not going to the Vatican stupid a$$.,0,2025-05-22T04:47:03Z
wHxJvwzcA4Y,"LIVE: ‘Not My War...’, Trump’s FIERY Speech Shakes Zelensky & EU After Putin Talks | Russia-Ukraine","LIVE NOW: 'NOT MY WAR...', President Donald Trump shocks European allies and Ukrainian President Volodymyr Zelensky with a bold statement following his latest call with Russian President Vladimir Putin. Speaking from the Oval Office, Trump declared, “This is not my war,” signaling a potential shift in U.S. involvement in the Russia-Ukraine conflict. While reaffirming support for peace efforts, Trump suggested Putin is ready to end the war, drawing praise from some and deep concern from NATO leaders.

#TrumpLive #UkraineCrisis #PutinCall #live #trump #trumplive #ukraine #ukraineceasefire #usa #usmilitary #englishnews #englishnewslive #usnews #trumpnews #zelenskyy #nato #putin",Hindustan Times,2025-05-21T19:51:18Z,russia ukraine war;ukraine;ukraine war;russia;donald trump;ukraine russia war;trump ukraine;war in ukraine;trump;russia ukraine;ukraine russia;trump russia ukraine;russia ukraine war update;trump ukraine war;russia ukraine news;trump putin;trump on russia ukraine war;russia war;trump end russia ukraine war;donald trump on russia ukraine war;trump news;trump russia;russia vs ukraine;trump ukraine russia;russia war ukraine;russia-ukraine war;live;us,14455,91,12,UgzFSzrXaRtsFckR2Ed4AaABAg,@louvreloveru,He was supposed to have the war ended on day one. Americans who voted for him are suckers and losers.,0,2025-05-22T04:45:14Z
wHxJvwzcA4Y,"LIVE: ‘Not My War...’, Trump’s FIERY Speech Shakes Zelensky & EU After Putin Talks | Russia-Ukraine","LIVE NOW: 'NOT MY WAR...', President Donald Trump shocks European allies and Ukrainian President Volodymyr Zelensky with a bold statement following his latest call with Russian President Vladimir Putin. Speaking from the Oval Office, Trump declared, “This is not my war,” signaling a potential shift in U.S. involvement in the Russia-Ukraine conflict. While reaffirming support for peace efforts, Trump suggested Putin is ready to end the war, drawing praise from some and deep concern from NATO leaders.

#TrumpLive #UkraineCrisis #PutinCall #live #trump #trumplive #ukraine #ukraineceasefire #usa #usmilitary #englishnews #englishnewslive #usnews #trumpnews #zelenskyy #nato #putin",Hindustan Times,2025-05-21T19:51:18Z,russia ukraine war;ukraine;ukraine war;russia;donald trump;ukraine russia war;trump ukraine;war in ukraine;trump;russia ukraine;ukraine russia;trump russia ukraine;russia ukraine war update;trump ukraine war;russia ukraine news;trump putin;trump on russia ukraine war;russia war;trump end russia ukraine war;donald trump on russia ukraine war;trump news;trump russia;russia vs ukraine;trump ukraine russia;russia war ukraine;russia-ukraine war;live;us,14455,91,12,UgzCO1QklnSEDO3k_Ip4AaABAg,@stabilo3170,"Si ce n'est pas ta guerre, alors dégage de la scène, au lieu d'interférer inutilement au profit du criminel de guerre qu'est Putin.",1,2025-05-22T00:46:16Z
wHxJvwzcA4Y,"LIVE: ‘Not My War...’, Trump’s FIERY Speech Shakes Zelensky & EU After Putin Talks | Russia-Ukraine","LIVE NOW: 'NOT MY WAR...', President Donald Trump shocks European allies and Ukrainian President Volodymyr Zelensky with a bold statement following his latest call with Russian President Vladimir Putin. Speaking from the Oval Office, Trump declared, “This is not my war,” signaling a potential shift in U.S. involvement in the Russia-Ukraine conflict. While reaffirming support for peace efforts, Trump suggested Putin is ready to end the war, drawing praise from some and deep concern from NATO leaders.

#TrumpLive #UkraineCrisis #PutinCall #live #trump #trumplive #ukraine #ukraineceasefire #usa #usmilitary #englishnews #englishnewslive #usnews #trumpnews #zelenskyy #nato #putin",Hindustan Times,2025-05-21T19:51:18Z,russia ukraine war;ukraine;ukraine war;russia;donald trump;ukraine russia war;trump ukraine;war in ukraine;trump;russia ukraine;ukraine russia;trump russia ukraine;russia ukraine war update;trump ukraine war;russia ukraine news;trump putin;trump on russia ukraine war;russia war;trump end russia ukraine war;donald trump on russia ukraine war;trump news;trump russia;russia vs ukraine;trump ukraine russia;russia war ukraine;russia-ukraine war;live;us,14455,91,12,UgyADV4uF3sElxdZFMF4AaABAg,@franciswhite9003,"Hope your end will come soon , you corrupt orange clown",0,2025-05-21T23:48:00Z
wHxJvwzcA4Y,"LIVE: ‘Not My War...’, Trump’s FIERY Speech Shakes Zelensky & EU After Putin Talks | Russia-Ukraine","LIVE NOW: 'NOT MY WAR...', President Donald Trump shocks European allies and Ukrainian President Volodymyr Zelensky with a bold statement following his latest call with Russian President Vladimir Putin. Speaking from the Oval Office, Trump declared, “This is not my war,” signaling a potential shift in U.S. involvement in the Russia-Ukraine conflict. While reaffirming support for peace efforts, Trump suggested Putin is ready to end the war, drawing praise from some and deep concern from NATO leaders.

#TrumpLive #UkraineCrisis #PutinCall #live #trump #trumplive #ukraine #ukraineceasefire #usa #usmilitary #englishnews #englishnewslive #usnews #trumpnews #zelenskyy #nato #putin",Hindustan Times,2025-05-21T19:51:18Z,russia ukraine war;ukraine;ukraine war;russia;donald trump;ukraine russia war;trump ukraine;war in ukraine;trump;russia ukraine;ukraine russia;trump russia ukraine;russia ukraine war update;trump ukraine war;russia ukraine news;trump putin;trump on russia ukraine war;russia war;trump end russia ukraine war;donald trump on russia ukraine war;trump news;trump russia;russia vs ukraine;trump ukraine russia;russia war ukraine;russia-ukraine war;live;us,14455,91,12,Ugybisud8R6ecoW_cBx4AaABAg,@michaelwilli-c3r,"What do Putin and Yezhov have in common? Both headed criminal Bolshevik organizations under different names: the Cheka, the State Political Directorate, the NKVD, the KGB, and the FSB. Both were mass murderers and serial liars. Both were short in stature and tried to disguise it in every possible way. Yezhov was liquidated by order of Stalin after he had lost his usefulness to him. By whose order will neo-Bolshevik Putin and neo-Bolshevism in Russia be liquidated when their time has come?",0,2025-05-21T23:24:34Z
wHxJvwzcA4Y,"LIVE: ‘Not My War...’, Trump’s FIERY Speech Shakes Zelensky & EU After Putin Talks | Russia-Ukraine","LIVE NOW: 'NOT MY WAR...', President Donald Trump shocks European allies and Ukrainian President Volodymyr Zelensky with a bold statement following his latest call with Russian President Vladimir Putin. Speaking from the Oval Office, Trump declared, “This is not my war,” signaling a potential shift in U.S. involvement in the Russia-Ukraine conflict. While reaffirming support for peace efforts, Trump suggested Putin is ready to end the war, drawing praise from some and deep concern from NATO leaders.

#TrumpLive #UkraineCrisis #PutinCall #live #trump #trumplive #ukraine #ukraineceasefire #usa #usmilitary #englishnews #englishnewslive #usnews #trumpnews #zelenskyy #nato #putin",Hindustan Times,2025-05-21T19:51:18Z,russia ukraine war;ukraine;ukraine war;russia;donald trump;ukraine russia war;trump ukraine;war in ukraine;trump;russia ukraine;ukraine russia;trump russia ukraine;russia ukraine war update;trump ukraine war;russia ukraine news;trump putin;trump on russia ukraine war;russia war;trump end russia ukraine war;donald trump on russia ukraine war;trump news;trump russia;russia vs ukraine;trump ukraine russia;russia war ukraine;russia-ukraine war;live;us,14455,91,12,UgxDPSivFEbmRrH2yRd4AaABAg,@stabilo3170,Comment le valeureux peuple américain a pu élire pour la DEUXIEME fois un âne à la tête de leur pays?,0,2025-05-21T22:41:56Z
wHxJvwzcA4Y,"LIVE: ‘Not My War...’, Trump’s FIERY Speech Shakes Zelensky & EU After Putin Talks | Russia-Ukraine","LIVE NOW: 'NOT MY WAR...', President Donald Trump shocks European allies and Ukrainian President Volodymyr Zelensky with a bold statement following his latest call with Russian President Vladimir Putin. Speaking from the Oval Office, Trump declared, “This is not my war,” signaling a potential shift in U.S. involvement in the Russia-Ukraine conflict. While reaffirming support for peace efforts, Trump suggested Putin is ready to end the war, drawing praise from some and deep concern from NATO leaders.

#TrumpLive #UkraineCrisis #PutinCall #live #trump #trumplive #ukraine #ukraineceasefire #usa #usmilitary #englishnews #englishnewslive #usnews #trumpnews #zelenskyy #nato #putin",Hindustan Times,2025-05-21T19:51:18Z,russia ukraine war;ukraine;ukraine war;russia;donald trump;ukraine russia war;trump ukraine;war in ukraine;trump;russia ukraine;ukraine russia;trump russia ukraine;russia ukraine war update;trump ukraine war;russia ukraine news;trump putin;trump on russia ukraine war;russia war;trump end russia ukraine war;donald trump on russia ukraine war;trump news;trump russia;russia vs ukraine;trump ukraine russia;russia war ukraine;russia-ukraine war;live;us,14455,91,12,UgwPyoRstLe1HuQrLwZ4AaABAg,@supercamiful,He stisend military aid . Ukraine just got 3 F-16 airplanes. 🤪,0,2025-05-21T22:23:26Z
