videoId,title,description,channelTitle,videoPublishedAt,tags,viewCount,videoLikeCount,videoCommentCount
VHuhpz_rzEE,"Russia-Ukraine War: Kremlin Readies New Front, Kyiv Warns Summer Offensive Imminent | Fineprint","Kremlin on Wednesday rejected Ukrainian and European accusations that it was stalling Ukraine peace talks, saying it plans to name its conditions for a ceasefire, but declining to give a time frame. Watch to know more!

#russiaukrainewar #russia #war 

About Channel: 

WION The World is One News examines global issues with in-depth analysis. We provide much more than the news of the day. Our aim is to empower people to explore their world. With our Global headquarters in New Delhi, we bring you news on the hour, by the hour. We deliver information that is not biased. We are journalists who are neutral to the core and non-partisan when it comes to world politics. People are tired of biased reportage and we stand for a globalized united world. So for us, the World is truly One.
 
Please keep discussions on this channel clean and respectful and refrain from using racist or sexist slurs and personal insults.

Subscribe to our channel at https://goo.gl/JfY3NI
Check out our website: http://www.wionews.com
Join our WhatsApp Channel: https://bit.ly/455YOQ0
Connect with us on our social media handles:
Facebook: https://www.facebook.com/WIONews
Twitter: https://twitter.com/WIONews
Instagram: https://www.instagram.com/wionews/
Follow us on Google News for the latest updates

Zee News:- https://bit.ly/2Ac5G60
Zee Business:- https://bit.ly/36vI2xa
DNA India:- https://bit.ly/2ZDuLRY
WION: https://bit.ly/3gnDb5J
Zee News Apps: https://bit.ly/ZeeNewsApps",WION,2025-05-21T18:43:24Z,War LIVE;war live;Russia Ukraine War;Ukraine News;Russia Airstrike Ukraine;NATO Warns Putin;russia news;Ukraine Repels Attack;russia strikes ukraine;War in Ukraine;Russian Bombing Ukraine;kyiv under attack;kyiv news;zelensky live;ukraine live news;putin news;Russia vs Ukraine Latest;Russia Strikes Ukraine;Ukraine War Update;Russia Ukraine Tensions;Russia vs Ukraine;trump putin meet;trump russia ukraine;war;live;wion;Iskander Missile,13923,177,24
lW4h7aXNNR8,Russia reactivates Cold War bases - right on Nato's border,"Almost a million Russian personnel are estimated to have been killed, captured or wounded fighting in Ukraine and Kursk.

But despite those staggering losses, Russian president Vladimir Putin is still likely to have a bigger military when this conflict ends than when it began.

And there are indications that Moscow is already preparing its post-war posture, with signs that Russia is beefing up its military presence along its western border.

More💻: https://www.forcesnews.com/nato/russia-bolsters-bases-it-prepares-face-nato-once-ukraine-war-over

#bfbsforcesnews #forcesnews #news #army #military #russia #nato 

Subscribe to Forces News: http://bit.ly/1OraazC
Check out our website: https://www.forcesnews.com
Facebook: https://www.facebook.com/ForcesTV
Instagram: https://www.instagram.com/forcesnews/?hl=en
X: https://twitter.com/ForcesNews",BFBS Forces News,2025-05-21T17:01:04Z,Forces News;Forces TV;British Armed Forces;British;Forces;military;serving;military personnel;Ministry of Defence;British defence;British military;BFBS;BFBS Forces News;Simon Newton;Nato;NATO;Kursk;Vladimir Putin;Finland;Sweden;Murmansk;Olenya;Kamenka;Alakurtti;Petrozavadsk,40332,1320,323
EC9LdmcMOT8,Ukraine launches massive attack on Moscow and central regions of Russia with over 150 drones,"#Kanal13​ #likekanal13​ #subscribekanal13 #warinukraine
https://www.youtube.com/user/kanal13az?sub_confirmation=1 - SUBSCRIBE TO US!
Attacks on Russia from the Armed Forces continue. Only for today's night in the sky above the Russian Air Force destroyed more than a hundred unmanned aerial vehicles. Details about this have been reported to the Ministry of Defense.

«Over the night 127 Ukrainian unmanned aerial vehicles of the aircraft type were intercepted and destroyed by air defense units on duty"", — says the message of the Telegram channel of the Ministry of Defense.

Ukraine directed its main attack at the Oryol region. According to the Russian Defense Ministry, 53 unmanned aircraft-type aerial vehicles were destroyed in the skies over the Oryol region.

The attack continued all night, and the last 16 drones were shot down in the morning, around eight o'clock Moscow time. There were no reports of casualties or deaths at the time of publication. The region's governor, Andrei Klychkov, said on his Telegram channel that the aftermath of the attack on the ground was being clarified. Drones attacked the Bolkhov factory of semiconductor devices in the Oryol region of the Russian Federation. Photos from the scene of the accident are spreading on social networks: they show a fire and a column of black smoke.

According to the Russian Telegram-channels, the company is connected with the military industry and produces components for radio-electronic equipment, including communication systems, control systems, EW, as well as simulators for tanks and missile complexes.

The plant's products are used by the defense concern ""Sozvezdie"" and other structures of the Armed Forces of Ukraine.

Six UAVs were intercepted and destroyed by electronic warfare and air defense systems in the Moscow region, three over the territory of the Ryazan region, one each in the skies of the Tula and Kaluga regions, and also over the waters of the Black Sea.

The border regions of Russia were also attacked. The most massive strike of the Ukrainian Armed Forces was in the Bryansk region. The Russian Ministry of Defense reported 51 drones destroyed over the Bryansk region. 36 UAVs were shot down over the Kursk region, and one over the Belgorod region.

The total number of Ukrainian drones destroyed over Russian regions on May 21 increased by 08:00 Moscow time from 127 to 159 units. No drones were spotted in the Samara Region at the time of publication. The threat of attack regime declared at night remains in effect.
http://youtube.com/kanal13az/join - click here and support Kanal13 monthly for distributing more videos and independent journalism

http://t.me/kanal13tv & https://bit.ly/37BVMqU 
https://www.youtube.com/user/kanal13az?sub_confirmation=1
https://bit.ly/2Rs6MB3 
#lastminutenewsfromukraine #kanal13ukraine  
https://bit.ly/2V19Fdy

Click here and just subscribe to Kanal13 - https://www.youtube.com/user/kanal13az?sub_confirmation=1

https://www.youtube.com/KANAL13AZ/join
*ATTENTION: If you woul like to contact with US please, write to +49176 75077516 WhatsApp

▌▌►Website: http://kanal13.tv/
http://www.facebook.com/tvkanal13
https://twitter.com/Kanal13Az
https://www.instagram.com/kanal13.az

Click & Subscribe to the main youtube Channel

© KANAL13 [ Azərbaycanın ilk peşəkar internet televiziyası ] The First Internet TV of Azerbaijan

Tags: #Ukriane, #Russia, #Putin, #Putler, #Russian invasion of Ukraine, #Zelenski, #Kiev, #Kyiv, #Kadirov army, #Kadirov, #Kherson, #Bucha, #Kharkiv, #Ukrainian pilots, #vagners, #Russian tanks, #NATO, #drones, #Moscow, #Kreml, #war victims #Ukraina, News, The Washington Post, waPo Video, Washington Post Video, Washington Post YouTube, a:politics, aid, biden, putin, s:Politics, support, t:Other, Ukraine, war, fact check, news coverage, Donald Trump, news, wp video, forbes, nytimes, newspaper, media, journalism, Ilham Aliyev, Baku, Azerbaijan, Israel, Gaza, Palestine, Tel-Aviv, Garabag, Karabakh, football, ronaldo, messi, brian tyler cohen",Kanal13,2025-05-21T07:34:01Z,Russia;Putin;Putler;Russian invasion of Ukraine;Zelenski;Kiev;Kyiv;Kadirov army;Kadirov;Kherson;Bucha;Kharkiv;Ukrainian pilots;vagners;Russian tanks;NATO;drones;Moscow;Kreml;war victims Ukraina;U.S. congress;U.S Senat;biden;trump;Donald Trump;US elections;Wray Over Agents' Abuses;Washington Post;nytimes;foreignpolicy;capitol hill;WaPo Videos;politics;latest news;Republican Speaker;US news;president elections U.S.;america elections;fake news politics;forbes,136428,4130,194
40rahxE_cow,Russia-Ukraine War: Putin Visits Kursk For The First Time After Ukrainian Troop Withdrawal |GRAVITAS,"Russian President Vladimir Putin visited the Kursk region for the first time since Russian forces pushed out Ukrainian troops last month. He acknowledged the continued challenges in the border area and announced extended financial support for affected residents. Meanwhile, drone footage released by Russia shows a missile strike on a Ukrainian training camp in Sumy, reportedly killing six, though Moscow claims much higher casualties. Amid the escalation, Ukrainian President Zelensky has signaled readiness to meet Putin directly, following calls with U.S. President Trump, though no major progress has been made toward a ceasefire.

#russiaukrainewar #russia #war 

About Channel: 

WION The World is One News examines global issues with in-depth analysis. We provide much more than the news of the day. Our aim is to empower people to explore their world. With our Global headquarters in New Delhi, we bring you news on the hour, by the hour. We deliver information that is not biased. We are journalists who are neutral to the core and non-partisan when it comes to world politics. People are tired of biased reportage and we stand for a globalized united world. So for us, the World is truly One.
 
Please keep discussions on this channel clean and respectful and refrain from using racist or sexist slurs and personal insults.

Subscribe to our channel at https://goo.gl/JfY3NI
Check out our website: http://www.wionews.com
Join our WhatsApp Channel: https://bit.ly/455YOQ0
Connect with us on our social media handles:
Facebook: https://www.facebook.com/WIONews
Twitter: https://twitter.com/WIONews
Instagram: https://www.instagram.com/wionews/
Follow us on Google News for the latest updates

Zee News:- https://bit.ly/2Ac5G60
Zee Business:- https://bit.ly/36vI2xa
DNA India:- https://bit.ly/2ZDuLRY
WION: https://bit.ly/3gnDb5J
Zee News Apps: https://bit.ly/ZeeNewsApps",WION,2025-05-21T17:44:55Z,War LIVE;war live;Russia Ukraine War;Ukraine News;Russia Airstrike Ukraine;NATO Warns Putin;russia news;Ukraine Repels Attack;russia strikes ukraine;War in Ukraine;Russian Bombing Ukraine;kyiv under attack;kyiv news;zelensky live;ukraine live news;putin news;Russia vs Ukraine Latest;Russia Strikes Ukraine;Ukraine War Update;Russia Ukraine Tensions;Russia vs Ukraine;trump putin meet;trump russia ukraine;war;live;wion;Iskander Missile,8493,97,10
wHxJvwzcA4Y,"LIVE: ‘Not My War...’, Trump’s FIERY Speech Shakes Zelensky & EU After Putin Talks | Russia-Ukraine","LIVE NOW: 'NOT MY WAR...', President Donald Trump shocks European allies and Ukrainian President Volodymyr Zelensky with a bold statement following his latest call with Russian President Vladimir Putin. Speaking from the Oval Office, Trump declared, “This is not my war,” signaling a potential shift in U.S. involvement in the Russia-Ukraine conflict. While reaffirming support for peace efforts, Trump suggested Putin is ready to end the war, drawing praise from some and deep concern from NATO leaders.

#TrumpLive #UkraineCrisis #PutinCall #live #trump #trumplive #ukraine #ukraineceasefire #usa #usmilitary #englishnews #englishnewslive #usnews #trumpnews #zelenskyy #nato #putin",Hindustan Times,2025-05-21T19:51:18Z,russia ukraine war;ukraine;ukraine war;russia;donald trump;ukraine russia war;trump ukraine;war in ukraine;trump;russia ukraine;ukraine russia;trump russia ukraine;russia ukraine war update;trump ukraine war;russia ukraine news;trump putin;trump on russia ukraine war;russia war;trump end russia ukraine war;donald trump on russia ukraine war;trump news;trump russia;russia vs ukraine;trump ukraine russia;russia war ukraine;russia-ukraine war;live;us,14474,91,12
f3KLL6kdrYw,Russian Defeat LOOMS in Ukraine... Putin CAN’T ESCAPE This TIME!,"On May 19, Foreign Policy detailed why experts now believe Russia is on the brink of defeat in Ukraine. Since the February 2022 invasion, Russia has lost nearly 976,000 troops to death, injury, or capture and over 10,800 tanks. Territorial gains have declined steadily, with only 55–78 square miles claimed in March 2025.

Compounding these losses is a stagnating Russian economy, with inflation nearing 10% and labor shortages projected to reach 2.4 million workers by 2030. Politically, Putin faces growing pressure as ceasefire negotiations stall and public dissatisfaction rises. As Ukraine begins counter-offensives, experts suggest Russia’s campaign is not just faltering — it may be nearing collapse.

Support us directly as we bring you independent, up-to-date reporting on military news and global conflicts by clicking here: https://www.youtube.com/channel/UCKfak8fBm_Lhy4eX9UKxEpA/join

#militarystrategy #militarydevelopments #militaryanalysis
#themilitaryshow

SOURCES: https://pastebin.com/gW6gQa7A",The Military Show,2025-05-20T20:15:01Z,military;navy;army;air force;putin;ukraine war;russia ukraine conflict;military losses;russian economy;foreign policy report;kremlin;putin defeat;geopolitics;ukraine counteroffensive;russian casualties;attritional warfare;donetsk;crimea;xi jinping;russian military;csis;isw;ukraine news;political pressure;moscow;putin successor;pokrovsk;nato;war update;putin russia;ukraine frontline;global politics;ceasefire,321178,7749,655
RHqAE5e7HVo,Trump speaks to Putin about ending the war in Ukraine,"Russia launched more than 100 drones into Ukraine overnight, following the conclusion of Monday's phone call between President Donald Trump's conversation with Vladimir Putin.

–––

Subscribe to ABC News on YouTube: https://abcnews.visitlink.me/59aJ1G

ABC News is your daily source of breaking national and world news, exclusive interviews and 24/7 live streaming coverage.

Download the ABC News app for the latest headlines and alerts: https://abcnews.go.com/devices

Watch 24/7 coverage of breaking news and live events on ABC News Live: https://www.youtube.com/watch?v=gN0PZCe-kwQ&ab_channel=ABCNews 

Watch full episodes of World News Tonight with David Muir here: https://youtube.com/playlist?list=PLQOa26lW-uI8ixlVw1NWu_l4Eh8iZW_qN&feature=shared 

Read ABC News reports online: http://abcnews.go.com

ABC News is the home to the #1 evening newscast “World News Tonight with David Muir,"" “Good Morning America,” “20/20,” “Nightline,” “This Week” with George Stephanopoulos, “ABC News Live Prime” with Linsey Davis, plus the daily news podcast “Start Here.”

Connect with ABC News on social media: 
Facebook: https://www.facebook.com/ABCNews 
Instagram: https://www.instagram.com/abcnews 
TikTok: https://www.tiktok.com/@abcnews 
X: https://twitter.com/ABC  
Threads: https://www.threads.net/@abcnews 
WhatsApp: https://whatsapp.com/channel/0029VajTNakKWEKkXoAPIR11
LinkedIn: https://www.linkedin.com/company/abcnews",ABC News,2025-05-20T11:59:25Z,Donald Trump;Russia;Ukraine;Vladimir Putin;abc news;call;gma;p_cmsid=2494279;p_vid=news-121979549;peace talks;phone,10166,291,97
rXhXf61LqWs,"This is why Putin is rejecting the Russia-Ukraine ceasefire, Gen. Keane explains","Fox News senior strategic analyst Gen. Jack Keane (ret.) assesses President Donald Trump's call with Russian President Vladimir Putin over a possible ceasefire, the use of sanctions and Iran's rhetoric amid talks with the U.S.

Subscribe to Fox Business: https://bit.ly/2D9Cdse
Watch more Fox Business Video: https://video.foxbusiness.com
Watch Fox Business Network Live: http://www.foxnewsgo.com/

FOX Business Network (FBN) is a financial news channel delivering real-time information across all platforms that impact both Main Street and Wall Street. Headquartered in New York — the business capital of the world — FBN launched in October 2007 and is one of the leading business networks on television. In 2025 it opened the year posting double-digit advantages across business day, market hours and total day viewers in January. Additionally, the network continued to lead business news programming, with each business day program placing among the top 15 shows, while FBN delivered its highest-rated month since April 2023 with market hours.

Follow Fox Business on Facebook: https://www.facebook.com/FoxBusiness
Follow Fox Business on Twitter: https://twitter.com/foxbusiness
Follow Fox Business on Instagram: https://www.instagram.com/foxbusiness",Fox Business,2025-05-20T12:15:07Z,FOX Business;FOX Business Network;Maria Bartiromo;Mornings with Maria;Russia;Russia Ukraine war;Ukraine;military;news;politics;vladimir putin;Russia Ukraine ceasefire talks;Russia Ukraine talks;Trump Putin phone call;Volodymyr Zelenskyy;Zelenskyy Putin;ceasefire talks;China;China Russia;Iran nuclear enrichment;Iran nuclear deal;Iran nuclear weapons;Trump Iran;Iran supreme leader,379405,7181,2584
uGId9shwwV0,Russia-Ukraine War: Russia's Iskander Strike Destroys Ukrainian Base Near Shostka | WION,"Russia-Ukraine War: Russia's Iskander Strike Destroys Ukrainian Base Near Shostka | WION

#russiaukrainewar #russia #ukraine 

About Channel: 

WION The World is One News examines global issues with in-depth analysis. We provide much more than the news of the day. Our aim is to empower people to explore their world. With our Global headquarters in New Delhi, we bring you news on the hour, by the hour. We deliver information that is not biased. We are journalists who are neutral to the core and non-partisan when it comes to world politics. People are tired of biased reportage and we stand for a globalized united world. So for us, the World is truly One.
 
Please keep discussions on this channel clean and respectful and refrain from using racist or sexist slurs and personal insults.

Subscribe to our channel at https://goo.gl/JfY3NI
Check out our website: http://www.wionews.com
Join our WhatsApp Channel: https://bit.ly/455YOQ0
Connect with us on our social media handles:
Facebook: https://www.facebook.com/WIONews
Twitter: https://twitter.com/WIONews
Instagram: https://www.instagram.com/wionews/
Follow us on Google News for the latest updates

Zee News:- https://bit.ly/2Ac5G60
Zee Business:- https://bit.ly/36vI2xa
DNA India:- https://bit.ly/2ZDuLRY
WION: https://bit.ly/3gnDb5J
Zee News Apps: https://bit.ly/ZeeNewsApps",WION,2025-05-21T08:49:38Z,War LIVE;war live;Russia Ukraine War;Ukraine News;Russia Airstrike Ukraine;NATO Warns Putin;russia news;Ukraine Repels Attack;russia strikes ukraine;War in Ukraine;Russian Bombing Ukraine;kyiv under attack;kyiv news;zelensky live;ukraine live news;putin news;Russia vs Ukraine Latest;Russia Strikes Ukraine;Ukraine War Update;Russia Ukraine Tensions;Russia vs Ukraine;trump putin meet;trump russia ukraine;war;live;wion;Iskander Missile,19493,214,22
XszCjMHqAwQ,Russia’s Suicidal Bike Squads Smash Ukraine Frontlines; Putin’s New War Tactic Shocks Zelensky?,"Russia News | Russia Vs Ukraine | Russia Ukraine War | Putin News | Zelensky News | Russia' Bike Squad
Russia has intensified its use of “suicidal” motorbike squads on the Ukrainian frontlines, deploying small, fast-moving units on motorcycles and quad bikes to break through Ukrainian defenses as part of a new offensive strategy. This shift comes as Russian armored vehicles have suffered devastating losses from Ukrainian drones and mines, prompting Moscow to abandon tanks in favor of more agile, expendable vehicles. Watch for more

INTERNATIONAL NEWS

#RussiaMotorbikeSquads #RussiaUkraineWar #RussianOffensive #MotorcycleAssaults #RussianMilitary #MilitaryTactics #UkrainianDrones #ArmoredVehicles #QuadBikes #BanzaiAttacks #RussianCasualties #CeasefireTalks #TrumpPutin #DonaldTrump #VolodymyrZelensky #VladimirPutin #UkraineNegotiations #Minefields #Donetsk #Kharkiv #DroneWarfare #TerritorialGains

Hindustan Times Videos brings all the News for the Global Indian under one umbrella. We break down news from across the globe from the unique lens of a Rising India. Tune in for Explainers, Opinions, Analysis and a 360 degree view of big events in India and the World which impact your present and future. 

Follow the Hindustan Times Channel on WhatsApp for News Alerts, Top Stories and Editor picks. Join Us Today - https://www.bit.ly/3PQ4kSv

Subscribe to the Hindustan Times YT channel and press the bell icon to get notified when we go live.

Visit our website https://www.hindustantimes.com/
Follow us on Twitter https://twitter.com/htTweets
Follow us on Facebook https://www.facebook.com/hindustantimes",Hindustan Times,2025-05-21T02:00:23Z,hindustan times;ht news;english news;news;ht;world news;Russia motorbike squads;Russia Ukraine war;Russian offensive;motorcycle assaults;Russian military;Ukrainian drones;armored vehicle;quad bikes;banzai attacks;Russian casualties;Trump Putin call;Donald Trump;Volodymyr Zelensky;Vladimir Putin;Ukraine negotiations;Donetsk;Kharkiv;drone warfare;russia news;russia vs ukraine;russia ukraine war;putin news;zelensky news;russia's bike squad,35834,537,111
