videoId,title,description,channelTitle,videoPublishedAt,tags,viewCount,videoLikeCount,videoCommentCount
2JsmSs3oPjc,Russia in 'far worse position now' than during 2022 talks | Michael Clarke analysis,"Russia is in a ""far worse position now"" compared to 2022, when direct negotiations with Ukraine last took place, security and defence analyst, Professor Michael Clarke, has been telling Sky News. 

Speaking with talks between Russia and Ukraine underway in Istanbul, Clarke said: ""Compared to 2022, the Russians are in a far worse position now than they were then because in 2022, they thought, 'it's only a matter of time before we take the whole country'. ""

Read more: https://news.sky.com/story/ukraine-war-latest-peace-talks-zelenskyy-putin-istanbul-crimea-baltic-nato-jet-clarke-frontline-turkey-erdogan-12541713

#ukraine #russia #war #analysis #worldnews 

SUBSCRIBE to our YouTube channel for more videos: http://www.youtube.com/skynews 
Follow us on Twitter: https://twitter.com/skynews 
Like us on Facebook: https://www.facebook.com/skynews 
Follow us on Instagram: https://www.instagram.com/skynews 
Follow us on TikTok: https://www.tiktok.com/@skynews 

For more content go to http://news.sky.com and download our apps: Apple https://itunes.apple.com/gb/app/sky-news/id316391924?mt=8 Android https://play.google.com/store/apps/details?id=com.bskyb.skynews.android&hl=en_GB 

Sky News Daily podcast is available for free here: https://podfollow.com/skynewsdaily/ 

Sky News videos are now available in Spanish here/Los video de Sky News están disponibles en español aquí: https://www.youtube.com/channel/UCzG5BnqHO8oNlrPDW9CYJog 

To enquire about licensing Sky News content, you can find more information here: https://news.sky.com/info/library-sales",Sky News,2025-05-16T14:37:44Z,ukraine;russia;war;conflict;analysis;professor michael;clarke;world;news,392688,4944,1558
lNOpwpzpvCk,Ukraine war: Putin no show at peace talks in Turkey,"The talks in Turkey were supposed to involve the presidents of Ukraine, Russia and possibly the USA. And they were supposed to usher in peace, or at least a ceasefire. Instead, Russia sent some low level officials while Vladimir Putin remained very much at home. 

(Subscribe: https://bit.ly/C4_News_Subscribe) 

Volodymyr Zelenskyy has travelled to Turkey but dismissed the Russian delegation as merely ""decorative"".  The Russian foreign ministry in turn called him a 'loser and a clown'. 

-----------------------  
Follow us:
Facebook - https://www.facebook.com/Channel4News/
Twitter - https://twitter.com/Channel4News
TikTok - https://www.tiktok.com/@c4news
Instagram - https://www.instagram.com/channel4news/",Channel 4 News,2025-05-15T18:33:25Z,Russia;Ukraine;Turkey;Ankara;Russia Ukraine War;Ukraine Conflict;Geopolitics;International Relations;War News;Ukraine Crisis;Russia vs Ukraine;Global Affairs;Current Events;Political Analysis;volodymyr zelenskyy;vladimir putin;putin;zelenskyy;trump;peace talks;ukraine peace;channel 4 news,59567,289,472
4CTei0kDQ4g,Ukraine war: Russia launches attack after rejecting ceasefire deal  | LiveNOW from FOX,"Russia launched more than 100 Shahed and decoy drones at Ukraine overnight. The Ukrainian air force revealed this came after the Kremlin rejected an unconditional 30-day ceasefire in the more than 3-year war.

Subscribe to LiveNOW from FOX! https://www.youtube.com/livenowfox?sub_confirmation=1
Where to watch LiveNOW from FOX: https://www.livenowfox.com/
Follow us @LiveNOWFOX on Twitter: https://twitter.com/livenowfox

Raw and unfiltered. Watch a non-stop stream of breaking news, live events and stories across the nation. Limited commentary. No opinion. Experience LiveNOW from FOX.",LiveNOW from FOX,2025-05-12T09:44:38Z,news;livenow-from-fox;video;russia;ukraine;war in ukraine;trump;russia attack;putin;zelenskyy;zelensky;ukraine russia;us russia;russian;putin trump;ukraine peace talks;latest ukraine;russia ukraine war map;ukraine breaking news today,121768,746,720
FhSgx_IoQ-Y,Satellite images show Putin massing Russian troops on border with Finland,"Satellite images show Putin building up a substantial military presence on the Finnish border.

Images obtained by Swedish broadcaster SVT show four locations have seen a significant increase in activity.

NATO member Finland heavily protects its eastern border.

In 2022, a border fence was erected to provide more defence against a Russian invasion.

Following Finland’s accession to NATO, Kremlin officials threatened ‘military-technical response measures’.

This move shows a worrying war stance being adopted by Putin on Russia’s north-east border.



Subscribe to The Sun: https://www.youtube.com/channel/UCIzXayRP7-P0ANpq-nD-h5g?sub_confirmation=1

Get The Sun's latest news, exclusives, sport, celebrities, showbiz, politics, business and lifestyle.

Read The Sun: https://www.thesun.co.uk/?utm_source=youtube&utm_medium=social&utm_campaign=sunyoutubesitelink
Like The Sun on Facebook: https://www.facebook.com/thesun/
Follow The Sun on X: https://twitter.com/TheSun
Follow The Sun on TikTok: https://www.tiktok.com/@thesun
Subscribe to The Sun on Snapchat: https://www.snapchat.com/discover/The_Sun/1633225139

#russia #russiaukrainewar #putin",The Sun,2025-05-12T18:04:57Z,The Sun;news;breaking news;the sun newspaper;News Today;News Today UK;News UK;UK News;Politics;World News;Daily News;The Sun News;Will Russia invade finland;Finland Troop build up;Russia;Finland;Satellite images;Military buildup;Troop movement;Border security;NATO;Geopolitics;War;Conflict;Putin;Russian troops;Finnish border;Military activity;Breaking news;Russia-Finland relations;Russian military expansion;Border tensions;Military analysis,365669,3029,2149
Qyb4HZs_6ZI,Abrams and Leopard vs Russian T-90M Tank in the Ukraine War,"Abrams and Leopard vs Russian T-90M Tank in the Ukraine War

Have you ever seen Leopard and Abrams fighting together during the conflict in Ukraine?

Today, we will show you what Western tanks are capable of and compare them with the Russian army's T-90M battle tank.

#tanks #abrams #leopard #t90m #ukraine #russia #ukrainerussia #ukrainerussiawar #warinukraine #future #ukraineconflict",FUTURE,2025-05-12T11:46:59Z,tanks;ukraine news;about tanks;abrams;abrams tanks;leopard;t-90m;t-90m tanks;future;russia ukraine war;ukraine vs russia;ukraine war;ukraine;russia ukraine;leopard vs russian tanks;war in ukraine;russia vs ukraine war update;ukraine russia news;russia vs ukraine tanks;abrams tank;ukraine russia war;abrams in ukraine;tanks in ukraine;russia;leopard 2;future battles in ukraine leopard 2a6 t-90m;m1 abrams;russia ukraine tank;leopard tank,290766,5098,190
3-PQG9gOhXo,Top 5 Shocking Moments in the Russia-Ukraine War You Didn’t See Coming!,"Top 5 Shocking Moments in the Russia-Ukraine War You Didn’t See Coming - The Russia-Ukraine war has reshaped modern warfare in ways few predicted, with both sides adapting strategies and technology in a relentless struggle for advantage. This conflict reveals shocking twists that challenge traditional battle tactics and showcase new levels of military innovation. Watch the full video to uncover the surprising events that are changing the face of this ongoing war!

00:44 - Chapter 1: The Fall of Most Celebrate Armor
02:39 - Chapter 2: The First Patriot Missile System Taken Out
04:18 - Chapter 3: Oreshnik missile debut
05:53 - Chapter 4: Russia Glide Bomb Unleashed for the first time
06:48 - Chapter 5: F-16 fails in Ukraine.

Explore more in-depth insights on our website: https://defensefeeds.com
Sources: https://pastebin.com/1aTz4VpW

Subscribe Now : 
https://www.youtube.com/channel/UC0IlEuu4TA9wq1u60tLMqBw?sub_confirmation=1",Military TV,2025-05-16T14:00:08Z,Top 5 Shocking Moments in the Russia-Ukraine War You Didn’t See Coming;russia ukraine war moment;russia ukraine;russia ukraine top moment;shocking event of russia ukraine war;russia ukraine war;russia ukraine war update;russia;oreshnik russia missile;russia glide bomb;top 5 russia;leopard tank destroyed in ukraine;abram fail in ukraine;patriot destroyed in ukraine;f16 in ukraine;f16 fail in ukraine;ukraine;russia ukraine update today;war in ukraine;ukraine war,50567,1146,218
d8Ca7PCHhMU,"Russia urgently ""cancels May 9"" after massive Ukrainian drone attack","#Kanal13​ #likekanal13​ #subscribekanal13 #warinukraine
https://www.youtube.com/user/kanal13az?sub_confirmation=1 - SUBSCRIBE TO US!
The aggressor country is urgently changing its plans regarding propaganda events timed to coincide with May 9. Following the massive attack by Ukrainian drones on Russian territory, a wave of cancellations of events planned for the said date has begun in the Russian Federation,  Verstka  writes . The restrictions affected at least Moscow, the Moscow region, the Vladimir, Lipetsk, Vologda regions and Mordovia. Thus, in Yegoryevsk, the memorial service for the victims was moved from the cemetery to the church ""for safety reasons."" In Ramenskoye, a school performance was cancelled, and in the Pavlovsky Posad District, evening concerts were cancelled, while car rallies and flower-laying ceremonies were retained. In the Vladimir region, the Immortal Regiment march and an evening concert have been cancelled in Kirzhach due to the ""threat of a UAV crash"". Similar measures have been taken in the Lipetsk region, where events have been postponed indefinitely and some events have been transferred to an online format. In Mordovia, the gala concert has been postponed to May 15 – officially due to ""Internet restrictions."" In the Vologda Region, bad weather was cited as the reason for postponing the events. In addition, performances by Russian artists who were unable to fly out of the Russian capital due to flight delays are being cancelled. 

Recall, Russia’s Defense Ministry has claimed its air defenses destroyed about 524 Ukrainian drones in a single day during what it called the most massive drone attack to date. The figure came after pro-war Russian military bloggers reported a record drone and missile assault on Russia overnight into May 7. The Z-affiliated Telegram channel Voevoda Veshchaet stated that 447 long-range drones and missiles had struck Russia between the evening of May 6 and early hours of May 7. The bloggers described it as the largest drone attack since the start of Russia’s full-scale invasion of Ukraine. During the night, Russian Telegram channels tracked swarms of drones headed toward Moscow via Ryazan, Tula and Oryol oblasts. Residents in the Moscow suburbs of Yegoryevsk and Kolomna reported hearing the sound of UAVs and explosions.

By morning, Russian airlines had begun mass cancellations and flight mergers, citing disruptions caused by the drone attacks.

Andrii Kovalenko, head of Ukraine’s Center for Counteracting Disinformation at the National Security and Defense Council, said a number of high-value targets within Russia’s military-industrial complex had been hit.

In Saransk, a fiber-optic systems plant was struck. In Tula, the attack targeted the Instrument Design Bureau. Another target was the Splav enterprise, a key developer of multiple launch rocket systems for the Russian military.
http://youtube.com/kanal13az/join - click here and support Kanal13 monthly for distributing more videos and independent journalism

http://t.me/kanal13tv & https://bit.ly/37BVMqU 
https://www.youtube.com/user/kanal13az?sub_confirmation=1
https://bit.ly/2Rs6MB3 
#lastminutenewsfromukraine #kanal13ukraine  
https://bit.ly/2V19Fdy

Click here and just subscribe to Kanal13 - https://www.youtube.com/user/kanal13az?sub_confirmation=1

https://www.youtube.com/KANAL13AZ/join
*ATTENTION: If you woul like to contact with US please, write to +49176 75077516 WhatsApp

▌▌►Website: http://kanal13.tv/
http://www.facebook.com/tvkanal13
https://twitter.com/Kanal13Az
https://www.instagram.com/kanal13.az

Click & Subscribe to the main youtube Channel

© KANAL13 [ Azərbaycanın ilk peşəkar internet televiziyası ] The First Internet TV of Azerbaijan

Tags: #Ukriane, #Russia, #Putin, #Putler, #Russian invasion of Ukraine, #Zelenski, #Kiev, #Kyiv, #Kadirov army, #Kadirov, #Kherson, #Bucha, #Kharkiv, #Ukrainian pilots, #vagners, #Russian tanks, #NATO, #drones, #Moscow, #Kreml, #war victims #Ukraina, News, The Washington Post, waPo Video, Washington Post Video, Washington Post YouTube, a:politics, aid, biden, putin, s:Politics, support, t:Other, Ukraine, war, fact check, news coverage, Donald Trump, news, wp video, forbes, nytimes, newspaper, media, journalism, Ilham Aliyev, Baku, Azerbaijan, Israel, Gaza, Palestine, Tel-Aviv, Garabag, Karabakh, football, ronaldo, messi, brian tyler cohen",Kanal13,2025-05-08T12:55:06Z,Russia;Putin;Putler;Russian invasion of Ukraine;Zelenski;Kiev;Kyiv;Kadirov army;Kadirov;Kherson;Bucha;Kharkiv;Ukrainian pilots;vagners;Russian tanks;NATO;drones;Moscow;Kreml;war victims Ukraina;U.S. congress;U.S Senat;biden;trump;Donald Trump;US elections;Wray Over Agents' Abuses;Washington Post;nytimes;foreignpolicy;capitol hill;WaPo Videos;politics;latest news;Republican Speaker;US news;president elections U.S.;america elections;fake news politics;forbes,193798,5696,547
WEVwY3XkTrI,North Korea confirms it sent troops to fight for Russia in Ukraine war | BBC News,"North Korea has for the first time confirmed that it sent troops to fight for Russia against Ukraine.
 
In a report on state news agency KCNA, Pyongyang's military claimed its soldiers helped Russian forces ""completely liberate"" the Kursk border region, according to an order given by leader Kim Jong Un.
 
Pyongyang's announcement comes just days after Russian Chief of Staff Valery Gerasimov praised the ""heroism"" of North Korean troops, the first time Moscow has publicly acknowledged their involvement.
 
Western officials had earlier told the BBC they believed at least 1,000 of the 11,000 troops sent from North Korea had been killed over three months.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#NorthKorea  #Russia #Ukraine #BBCNews",BBC News,2025-04-28T09:32:41Z,bbc;bbc news;news;world news;breaking news;us news;world;america;usa;usa news;india news,304223,3501,2236
vo0ZeCI6niU,Xi's Troops To Help Putin's Men In Ukraine War? China Military Says 'Ready To Strengthen...',"China has said that it is ready to ""expand practical cooperation"" with the Russian army. The announcement comes days after Chinese president Xi Jinping visited Moscow to attend the Victory Day Parade presided by Russia president Vladimir Putin. Jinping's Moscow visit was condemned by Ukraine's allies, who accused Beijing of giving Moscow economic and political cover to wage a war of aggression.

#China #XiJinping #Russia #ChinaRussia #Moscow #Beijing #Ukraine

Times Of India (TOI) Is The Largest Selling English Daily In The World. 

Times Of India Videos Bring You Global News, Views And Sharp Analysis. We Track India's Global Rise, Her Increasing Engagement With The World, The Changing Geopolitical Landscape Amid Conflicts And Wars And The Emerging World Order.  

INTERNATIONAL NEWS | GLOBAL CONFLICTS | MIDDLE EAST WAR | CHANGING WORLD ORDER #TOILive | #TOIVideos 

Subscribe to the Times Of India YT channel and press the bell icon to get notified when we go live.

Visit our website https://www.timesofindia.com/
Follow us on X/ @timesofindia  
Facebook: https://www.facebook.com/TimesofIndia
Instagram: https://www.instagram.com/timesofindia/
Download the app: http://toi.in/3SLUCa80
Follow the TOI WhatsApp channel: https://bit.ly/3RYl0J9

For daily news & updates and exclusive stories, follow the Times of India",Times Of India,2025-05-15T15:10:55Z,times of india;toi;latest news;news;news today;latest news today;trending news;viral news;viral video;times news;english news;live news;China Russia;Xi Jinping;Vladimir Putin;Russia;China;Ukraine war;Russia Ukraine War,48991,672,264
UMK31FF2kn0,"Trump, Zelensky Shocked? Putin Gives Stunning Answer On 'Reunifying' Ukrainian Parts Into Russia","Just days before the May 9 Victory Day parade, Russian President Vladimir Putin stuns the world by calling reconciliation with Ukraine “inevitable.” In a dramatic documentary interview, Putin blames the West for betrayal over the Minsk accords and claims the Ukraine war is nearing a “logical conclusion.” As Zelensky warns foreign leaders against visiting Moscow, Putin’s comments fuel speculation of a major shift. Is peace possible—or a bigger war coming?

INTERNATIONAL NEWS

#Putin #Ukraine #VictoryDay #Peace #RussiaUkraineWar #Zelensky #Ceasefire

Hindustan Times Videos brings all the News for the Global Indian under one umbrella. We break down news from across the globe from the unique lens of a Rising India. Tune in for Explainers, Opinions, Analysis and a 360 degree view of big events in India and the World which impact your present and future. 

Follow the Hindustan Times Channel on WhatsApp for News Alerts, Top Stories and Editor picks. Join Us Today - https://www.bit.ly/3PQ4kSv

Subscribe to the Hindustan Times YT channel and press the bell icon to get notified when we go live.

Visit our website https://www.hindustantimes.com/
Follow us on Twitter https://twitter.com/htTweets
Follow us on Facebook https://www.facebook.com/hindustantimes",Hindustan Times,2025-05-05T16:19:07Z,Vladimir Putin;Zelensky;Russia;Ukraine Russia reconciliation;Victory Day Moscow;May 9 Russia parade;Ukraine;russia ukraine war;ukraine war;ukraine russia war;war in ukraine;russia ukraine war live;russia ukraine war update;russia;russia vs ukraine war;russia ukraine war news;russia vs ukraine;ukraine;ukraine russia;war victims ukraina;russia ukraine news;ukraine vs russia;russia war ukraine;russian invasion of ukraine;russian ukraine war,322900,5235,1060
